ds,holiday,lower_window,upper_window
2020-03-24,lockwdown,0,0
2020-03-25,lockwdown,0,0
2020-03-26,lockwdown,0,0
2020-03-27,lockwdown,0,0
2020-03-28,lockwdown,0,0
2020-03-29,lockwdown,0,0
2020-03-30,lockwdown,0,0
2020-03-31,lockwdown,0,0
2020-04-01,lockwdown,0,0
2020-04-02,lockwdown,0,0
2020-04-03,lockwdown,0,0
2020-04-04,lockwdown,0,0
2020-04-05,lockwdown,0,0
2020-04-06,lockwdown,0,0
2020-04-07,lockwdown,0,0
2020-04-08,lockwdown,0,0
2020-04-09,lockwdown,0,0
2020-04-10,lockwdown,0,0
2020-04-11,lockwdown,0,0
2020-04-12,lockwdown,0,0
2020-04-13,lockwdown,0,0
2020-04-14,lockwdown,0,0
2020-04-15,lockwdown,0,0
2020-04-16,lockwdown,0,0
2020-04-17,lockwdown,0,0
2020-04-18,lockwdown,0,0
2020-04-19,lockwdown,0,0
2020-04-20,lockwdown,0,0
2020-04-21,lockwdown,0,0
2020-04-22,lockwdown,0,0
2020-04-23,lockwdown,0,0
2020-04-24,lockwdown,0,0
2020-04-25,lockwdown,0,0
2020-04-26,lockwdown,0,0
2020-04-27,lockwdown,0,0
2020-04-28,lockwdown,0,0
2020-04-29,lockwdown,0,0
2020-04-30,lockwdown,0,0
2020-05-01,lockwdown,0,0
2020-05-02,lockwdown,0,0
2020-05-03,lockwdown,0,0
2020-05-04,lockwdown,0,0
2020-05-05,lockwdown,0,0
2020-05-06,lockwdown,0,0
2020-05-07,lockwdown,0,0
2020-05-08,lockwdown,0,0
2020-05-09,lockwdown,0,0
2020-05-10,lockwdown,0,0
2020-05-11,lockwdown,0,0
2020-05-12,lockwdown,0,0
2020-05-13,lockwdown,0,0
2020-05-14,lockwdown,0,0
2020-05-15,lockwdown,0,0
2020-05-16,lockwdown,0,0
2020-05-17,lockwdown,0,0
2020-05-18,lockwdown,0,0
2020-05-19,lockwdown,0,0
2020-05-20,lockwdown,0,0
2020-05-21,lockwdown,0,0
2020-05-22,lockwdown,0,0
2020-05-23,lockwdown,0,0
2020-05-24,lockwdown,0,0
2020-05-25,lockwdown,0,0
2020-05-26,lockwdown,0,0
2020-05-27,lockwdown,0,0
2020-05-28,lockwdown,0,0
2020-05-29,lockwdown,0,0
2020-05-30,lockwdown,0,0
2020-05-31,lockwdown,0,0
2021-04-05,lockwdown,0,0
2021-04-06,lockwdown,0,0
2021-04-07,lockwdown,0,0
2021-04-08,lockwdown,0,0
2021-04-09,lockwdown,0,0
2021-04-10,lockwdown,0,0
2021-04-11,lockwdown,0,0
2021-04-12,lockwdown,0,0
2021-04-13,lockwdown,0,0
2021-04-14,lockwdown,0,0
2021-04-15,lockwdown,0,0
2021-04-16,lockwdown,0,0
2021-04-17,lockwdown,0,0
2021-04-18,lockwdown,0,0
2021-04-19,lockwdown,0,0
2021-04-20,lockwdown,0,0
2021-04-21,lockwdown,0,0
2021-04-22,lockwdown,0,0
2021-04-23,lockwdown,0,0
2021-04-24,lockwdown,0,0
2021-04-25,lockwdown,0,0
2021-04-26,lockwdown,0,0
2021-04-27,lockwdown,0,0
2021-04-28,lockwdown,0,0
2021-04-29,lockwdown,0,0
2021-04-30,lockwdown,0,0
2021-05-01,lockwdown,0,0
2021-05-02,lockwdown,0,0
2021-05-03,lockwdown,0,0
2021-05-04,lockwdown,0,0
2021-05-05,lockwdown,0,0
2021-05-06,lockwdown,0,0
2021-05-07,lockwdown,0,0
2021-05-08,lockwdown,0,0
2021-05-09,lockwdown,0,0
2021-05-10,lockwdown,0,0
2021-05-11,lockwdown,0,0
2021-05-12,lockwdown,0,0
2021-05-13,lockwdown,0,0
2021-05-14,lockwdown,0,0
2021-05-15,lockwdown,0,0
2021-05-16,lockwdown,0,0
2021-05-17,lockwdown,0,0
2021-05-18,lockwdown,0,0
2021-05-19,lockwdown,0,0
2021-05-20,lockwdown,0,0
2021-05-21,lockwdown,0,0
2021-05-22,lockwdown,0,0
2021-05-23,lockwdown,0,0
2021-05-24,lockwdown,0,0
2021-05-25,lockwdown,0,0
2021-05-26,lockwdown,0,0
2021-05-27,lockwdown,0,0
2021-05-28,lockwdown,0,0
2021-05-29,lockwdown,0,0
2021-05-30,lockwdown,0,0
2021-05-31,lockwdown,0,0
2021-06-01,lockwdown,0,0
2021-06-02,lockwdown,0,0
2021-06-03,lockwdown,0,0
2021-06-04,lockwdown,0,0
2021-06-05,lockwdown,0,0
2021-06-06,lockwdown,0,0
2021-06-07,lockwdown,0,0
2021-06-08,lockwdown,0,0
2021-06-09,lockwdown,0,0
2021-06-10,lockwdown,0,0
2021-06-11,lockwdown,0,0
2021-06-12,lockwdown,0,0
2021-06-13,lockwdown,0,0
2021-06-14,lockwdown,0,0
2021-06-15,lockwdown,0,0
2020-09-19,svod_dates,0,0
2020-09-20,svod_dates,0,0
2020-09-21,svod_dates,0,0
2020-09-22,svod_dates,0,0
2020-09-23,svod_dates,0,0
2020-09-24,svod_dates,0,0
2020-09-25,svod_dates,0,0
2020-09-26,svod_dates,0,0
2020-09-27,svod_dates,0,0
2020-09-28,svod_dates,0,0
2020-09-29,svod_dates,0,0
2020-09-30,svod_dates,0,0
2020-10-01,svod_dates,0,0
2020-10-02,svod_dates,0,0
2020-10-03,svod_dates,0,0
2020-10-04,svod_dates,0,0
2020-10-05,svod_dates,0,0
2020-10-06,svod_dates,0,0
2020-10-07,svod_dates,0,0
2020-10-08,svod_dates,0,0
2020-10-09,svod_dates,0,0
2020-10-10,svod_dates,0,0
2020-10-11,svod_dates,0,0
2020-10-12,svod_dates,0,0
2020-10-13,svod_dates,0,0
2020-10-14,svod_dates,0,0
2020-10-15,svod_dates,0,0
2020-10-16,svod_dates,0,0
2020-10-17,svod_dates,0,0
2020-10-18,svod_dates,0,0
2020-10-19,svod_dates,0,0
2020-10-20,svod_dates,0,0
2020-10-21,svod_dates,0,0
2020-10-22,svod_dates,0,0
2020-10-23,svod_dates,0,0
2020-10-24,svod_dates,0,0
2020-10-25,svod_dates,0,0
2020-10-26,svod_dates,0,0
2020-10-27,svod_dates,0,0
2020-10-28,svod_dates,0,0
2020-10-29,svod_dates,0,0
2020-10-30,svod_dates,0,0
2020-10-31,svod_dates,0,0
2020-11-01,svod_dates,0,0
2020-11-02,svod_dates,0,0
2020-11-03,svod_dates,0,0
2020-11-04,svod_dates,0,0
2020-11-05,svod_dates,0,0
2020-11-06,svod_dates,0,0
2020-11-07,svod_dates,0,0
2020-11-08,svod_dates,0,0
2020-11-09,svod_dates,0,0
2020-11-10,svod_dates,0,0
2020-11-11,svod_dates,0,0
2020-11-12,svod_dates,0,0
2020-11-13,svod_dates,0,0
2020-11-14,svod_dates,0,0
2020-11-15,svod_dates,0,0
2020-11-16,svod_dates,0,0
2020-11-17,svod_dates,0,0
2020-11-18,svod_dates,0,0
2020-11-19,svod_dates,0,0
2020-11-20,svod_dates,0,0
2020-11-21,svod_dates,0,0
2020-11-22,svod_dates,0,0
2020-11-23,svod_dates,0,0
2020-11-24,svod_dates,0,0
2020-11-25,svod_dates,0,0
2020-11-26,svod_dates,0,0
2020-11-27,svod_dates,0,0
2020-11-28,svod_dates,0,0
2020-11-29,svod_dates,0,0
2020-11-30,svod_dates,0,0
2020-12-01,svod_dates,0,0
2020-12-02,svod_dates,0,0
2020-12-03,svod_dates,0,0
2020-12-04,svod_dates,0,0
2020-12-05,svod_dates,0,0
2020-12-06,svod_dates,0,0
2020-12-07,svod_dates,0,0
2020-12-08,svod_dates,0,0
2020-12-09,svod_dates,0,0
2020-12-10,svod_dates,0,0
2020-12-11,svod_dates,0,0
2020-12-12,svod_dates,0,0
2020-12-13,svod_dates,0,0
2020-12-14,svod_dates,0,0
2020-12-15,svod_dates,0,0
2020-12-16,svod_dates,0,0
2020-12-17,svod_dates,0,0
2020-12-18,svod_dates,0,0
2020-12-19,svod_dates,0,0
2020-12-20,svod_dates,0,0
2020-12-21,svod_dates,0,0
2020-12-22,svod_dates,0,0
2020-12-23,svod_dates,0,0
2020-12-24,svod_dates,0,0
2020-12-25,svod_dates,0,0
2020-12-26,svod_dates,0,0
2020-12-27,svod_dates,0,0
2020-12-28,svod_dates,0,0
2020-12-29,svod_dates,0,0
2020-12-30,svod_dates,0,0
2020-12-31,svod_dates,0,0
2021-01-01,svod_dates,0,0
2021-01-02,svod_dates,0,0
2021-01-03,svod_dates,0,0
2021-01-04,svod_dates,0,0
2021-01-05,svod_dates,0,0
2021-01-06,svod_dates,0,0
2021-01-07,svod_dates,0,0
2021-01-08,svod_dates,0,0
2021-01-09,svod_dates,0,0
2021-01-10,svod_dates,0,0
2021-01-11,svod_dates,0,0
2021-01-12,svod_dates,0,0
2021-01-13,svod_dates,0,0
2021-01-14,svod_dates,0,0
2021-01-15,svod_dates,0,0
2021-01-16,svod_dates,0,0
2021-01-17,svod_dates,0,0
2021-01-18,svod_dates,0,0
2021-01-19,svod_dates,0,0
2021-01-20,svod_dates,0,0
2021-01-21,svod_dates,0,0
2021-01-22,svod_dates,0,0
2021-01-23,svod_dates,0,0
2021-01-24,svod_dates,0,0
2021-01-25,svod_dates,0,0
2021-01-26,svod_dates,0,0
2021-01-27,svod_dates,0,0
2021-01-28,svod_dates,0,0
2021-01-29,svod_dates,0,0
2021-01-30,svod_dates,0,0
2021-01-31,svod_dates,0,0
2021-02-01,svod_dates,0,0
2021-02-02,svod_dates,0,0
2021-02-03,svod_dates,0,0
2021-02-04,svod_dates,0,0
2021-02-05,svod_dates,0,0
2021-02-06,svod_dates,0,0
2021-02-07,svod_dates,0,0
2021-02-08,svod_dates,0,0
2021-02-09,svod_dates,0,0
2021-02-10,svod_dates,0,0
2021-02-11,svod_dates,0,0
2021-02-12,svod_dates,0,0
2021-02-13,svod_dates,0,0
2021-02-14,svod_dates,0,0
2021-02-15,svod_dates,0,0
2021-02-16,svod_dates,0,0
2021-02-17,svod_dates,0,0
2021-02-18,svod_dates,0,0
2021-02-19,svod_dates,0,0
2021-02-20,svod_dates,0,0
2021-02-21,svod_dates,0,0
2021-02-22,svod_dates,0,0
2021-02-23,svod_dates,0,0
2021-02-24,svod_dates,0,0
2021-02-25,svod_dates,0,0
2021-02-26,svod_dates,0,0
2021-02-27,svod_dates,0,0
2021-02-28,svod_dates,0,0
2021-03-01,svod_dates,0,0
2021-03-02,svod_dates,0,0
2021-03-03,svod_dates,0,0
2021-03-04,svod_dates,0,0
2021-03-05,svod_dates,0,0
2021-03-06,svod_dates,0,0
2021-03-07,svod_dates,0,0
2021-03-08,svod_dates,0,0
2021-03-09,svod_dates,0,0
2021-03-10,svod_dates,0,0
2021-03-11,svod_dates,0,0
2021-03-12,svod_dates,0,0
2021-03-13,svod_dates,0,0
2021-03-14,svod_dates,0,0
2021-03-15,svod_dates,0,0
2021-03-16,svod_dates,0,0
2021-03-17,svod_dates,0,0
2021-03-18,svod_dates,0,0
2021-03-19,svod_dates,0,0
2021-03-20,svod_dates,0,0
2021-03-21,svod_dates,0,0
2021-03-22,svod_dates,0,0
2021-03-23,svod_dates,0,0
2021-03-24,svod_dates,0,0
2021-03-25,svod_dates,0,0
2021-03-26,svod_dates,0,0
2021-03-27,svod_dates,0,0
2021-03-28,svod_dates,0,0
2021-03-29,svod_dates,0,0
2021-03-30,svod_dates,0,0
2021-03-31,svod_dates,0,0
2021-04-01,svod_dates,0,0
2021-04-02,svod_dates,0,0
2021-04-03,svod_dates,0,0
2021-04-04,svod_dates,0,0
2021-04-05,svod_dates,0,0
2021-04-06,svod_dates,0,0
2021-04-07,svod_dates,0,0
2021-04-08,svod_dates,0,0
2021-04-09,svod_dates,0,0
2021-04-10,svod_dates,0,0
2021-04-11,svod_dates,0,0
2021-04-12,svod_dates,0,0
2021-04-13,svod_dates,0,0
2021-04-14,svod_dates,0,0
2021-04-15,svod_dates,0,0
2021-04-16,svod_dates,0,0
2021-04-17,svod_dates,0,0
2021-04-18,svod_dates,0,0
2021-04-19,svod_dates,0,0
2021-04-20,svod_dates,0,0
2021-04-21,svod_dates,0,0
2021-04-22,svod_dates,0,0
2021-04-23,svod_dates,0,0
2021-04-24,svod_dates,0,0
2021-04-25,svod_dates,0,0
2021-04-26,svod_dates,0,0
2021-04-27,svod_dates,0,0
2021-04-28,svod_dates,0,0
2021-04-29,svod_dates,0,0
2021-04-30,svod_dates,0,0
2021-05-01,svod_dates,0,0
2021-05-02,svod_dates,0,0
2021-05-03,svod_dates,0,0
2021-05-04,svod_dates,0,0
2021-05-05,svod_dates,0,0
2021-05-06,svod_dates,0,0
2021-05-07,svod_dates,0,0
2021-05-08,svod_dates,0,0
2021-05-09,svod_dates,0,0
2021-05-10,svod_dates,0,0
2021-05-11,svod_dates,0,0
2021-05-12,svod_dates,0,0
2021-05-13,svod_dates,0,0
2021-05-14,svod_dates,0,0
2021-05-15,svod_dates,0,0
2021-05-16,svod_dates,0,0
2021-05-17,svod_dates,0,0
2021-05-18,svod_dates,0,0
2021-05-19,svod_dates,0,0
2021-05-20,svod_dates,0,0
2021-05-21,svod_dates,0,0
2021-05-22,svod_dates,0,0
2021-05-23,svod_dates,0,0
2021-05-24,svod_dates,0,0
2021-05-25,svod_dates,0,0
2021-05-26,svod_dates,0,0
2021-05-27,svod_dates,0,0
2021-05-28,svod_dates,0,0
2021-05-29,svod_dates,0,0
2021-05-30,svod_dates,0,0
2021-05-31,svod_dates,0,0
2021-06-01,svod_dates,0,0
2021-06-02,svod_dates,0,0
2021-06-03,svod_dates,0,0
2021-06-04,svod_dates,0,0
2021-06-05,svod_dates,0,0
