content_id,tournament,gender_type,vod_type,match_stage,hostar_influence,tournament_name,match_type,if_contain_india_team,venue,if_holiday,match_time,if_weekend,tournament_type,rank,date,title,shortsummary,match_active_free_num,total_free_watch_time,match_active_sub_num,total_sub_watch_time,watch_time_per_free_per_match,watch_time_per_subscriber_per_match,match_start_time,venue_detail,year,teams,continents,teams_tier,teams_hots,teams_hots_num,continents_hots,continents_hots_num,teams_tier_hots,teams_tier_hots_num,tournament_type_hots,tournament_type_hots_num,if_weekend_hots,if_weekend_hots_num,match_time_hots,match_time_hots_num,if_holiday_hots,if_holiday_hots_num,venue_hots,venue_hots_num,if_contain_india_team_hots,if_contain_india_team_hots_num,match_type_hots,match_type_hots_num,tournament_name_hots,tournament_name_hots_num,hostar_influence_hots,hostar_influence_hots_num,match_stage_hots,match_stage_hots_num,vod_type_hots,vod_type_hots_num,gender_type_hots,gender_type_hots_num,total_frees_number,total_subscribers_number,frees_watching_match_rate,subscribers_watching_match_rate
1440000679,wc2019,men,avod,group,3,world cup,odi,0,0,0,2,0,international,1,2019/5/30,england vs south africa,ICC CWC 2019,1.10E+07,3.92E+08,868596,5.94E+07,30.46,68.36,14:10:19,england,2019,england vs south africa,EU vs AF,tier1 vs tier1,"[5, 24]",30,"[2, 0]",5,"[0, 0]",3,[0],3,[0],1,[2],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.35,0.49
1440000680,wc2019,men,avod,group,3,world cup,odi,0,0,0,2,0,international,2,2019/5/31,west indies vs pakistan,ICC CWC 2019,7848923.47,2.07E+08,600177,2.53E+07,22.74,42.14,14:10:16,england,2019,pakistan vs west indies,AS vs NA,tier1 vs tier2,"[18, 28]",30,"[1, 3]",5,"[0, 1]",3,[0],3,[0],1,[2],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.25,0.34
1440000681,wc2019,men,avod,group,3,world cup,odi,0,0,0,2,1,international,4,2019/6/1,new zealand vs sri lanka,ICC CWC 2019,6413037.53,1.43E+08,521531,1.96E+07,19.08,37.56,14:10:16,england,2019,new zealand vs sri lanka,OC vs AS,tier1 vs tier1,"[16, 26]",30,"[4, 1]",5,"[0, 0]",3,[0],3,[1],1,[2],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.2,0.29
1440000682,wc2019,men,avod,group,3,world cup,odi,0,0,0,3,1,international,3,2019/6/1,australia vs afghanistan,ICC CWC 2019,7147017.84,1.53E+08,571653,2.00E+07,18.71,35.07,18:10:20,england,2019,afghanistan vs australia,AS vs OC,tier2 vs tier1,"[0, 1]",30,"[1, 4]",5,"[1, 0]",3,[0],3,[1],1,[3],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.23,0.32
1440000683,wc2019,men,avod,group,3,world cup,odi,0,0,0,2,1,international,5,2019/6/2,south africa vs bangladesh,ICC CWC 2019,1.12E+07,5.23E+08,859593,6.29E+07,41.28,73.23,14:10:18,england,2019,bangladesh vs south africa,AS vs AF,tier2 vs tier1,"[2, 24]",30,"[1, 0]",5,"[1, 0]",3,[0],3,[1],1,[2],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.35,0.49
1440000684,wc2019,men,avod,group,3,world cup,odi,0,0,0,2,0,international,6,2019/6/3,england vs pakistan,ICC CWC 2019,1.35E+07,7.51E+08,991097,7.71E+07,49.19,77.8,14:10:16,england,2019,england vs pakistan,EU vs AS,tier1 vs tier1,"[5, 18]",30,"[2, 1]",5,"[0, 0]",3,[0],3,[0],1,[2],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.43,0.56
1440000685,wc2019,men,avod,group,3,world cup,odi,0,0,0,2,0,international,7,2019/6/4,afghanistan vs sri lanka,ICC CWC 2019,1.02E+07,2.95E+08,752640,3.31E+07,25.67,43.99,14:10:17,england,2019,afghanistan vs sri lanka,AS vs AS,tier2 vs tier1,"[0, 26]",30,"[1, 1]",5,"[1, 0]",3,[0],3,[0],1,[2],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.32,0.42
1440000686,wc2019,men,avod,group,3,world cup,odi,1,0,1,2,0,international,8,2019/6/5,south africa vs india,ICC CWC 2019,2.79E+07,1.92E+09,1626296,2.27E+08,60.7,139.71,14:10:20,england,2019,india vs south africa,AS vs AF,tier1 vs tier1,"[8, 24]",30,"[1, 0]",5,"[0, 0]",3,[0],3,[0],1,[2],4,[1],1,[0],1,[1],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.88,0.92
1440000687,wc2019,men,avod,group,3,world cup,odi,0,0,1,3,0,international,9,2019/6/5,bangladesh vs new zealand,ICC CWC 2019,3535963.65,4.01E+07,289761,4352566.53,12.78,15.02,18:10:18,england,2019,bangladesh vs new zealand,AS vs OC,tier2 vs tier1,"[2, 16]",30,"[1, 4]",5,"[1, 0]",3,[0],3,[0],1,[3],4,[1],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.11,0.16
1440000688,wc2019,men,avod,group,3,world cup,odi,0,0,0,2,0,international,10,2019/6/6,australia vs west indies,ICC CWC 2019,1.46E+07,6.70E+08,1051565,7.61E+07,40.17,72.34,14:10:17,england,2019,australia vs west indies,OC vs NA,tier1 vs tier2,"[1, 28]",30,"[4, 3]",5,"[0, 1]",3,[0],3,[0],1,[2],4,[0],1,[0],1,[0],1,[0],3,[10],11,[0],5,[1],4,[0],1,[0],1,3.16E+07,1771406.87,0.46,0.59
